sample_id,p1,p2,p3,p4,p5,type
375,0.0,-1.5,0.0,0.0,-1.5,deterministic
376,0.0,-2.0,0.0,0.0,-2.0,deterministic
377,0.0,-0.5,0.0,0.0,0.0,deterministic
378,0.0,-1.0,0.0,0.0,0.0,deterministic
379,0.0,-1.5,0.0,0.0,0.0,deterministic
380,0.0,-2.0,0.0,0.0,0.0,deterministic
381,0.0,-0.5,0.0,0.0,0.5,deterministic
382,0.0,-1.0,0.0,0.0,1.0,deterministic
383,0.0,-1.5,0.0,0.0,1.5,deterministic
384,0.0,-2.0,0.0,0.0,2.0,deterministic
385,0.0,-0.5,0.0,0.5,-0.5,deterministic
386,0.0,-1.0,0.0,1.0,-1.0,deterministic
387,0.0,-1.5,0.0,1.5,-1.5,deterministic
388,0.0,-2.0,0.0,2.0,-2.0,deterministic
389,0.0,-0.5,0.0,0.5,0.0,deterministic
390,0.0,-1.0,0.0,1.0,0.0,deterministic
391,0.0,-1.5,0.0,1.5,0.0,deterministic
392,0.0,-2.0,0.0,2.0,0.0,deterministic
393,0.0,-0.5,0.0,0.5,0.5,deterministic
394,0.0,-1.0,0.0,1.0,1.0,deterministic
395,0.0,-1.5,0.0,1.5,1.5,deterministic
396,0.0,-2.0,0.0,2.0,2.0,deterministic
397,0.0,-0.5,0.5,-0.5,-0.5,deterministic
398,0.0,-1.0,1.0,-1.0,-1.0,deterministic
399,0.0,-1.5,1.5,-1.5,-1.5,deterministic
400,0.0,-2.0,2.0,-2.0,-2.0,deterministic
401,0.0,-0.5,0.5,-0.5,0.0,deterministic
402,0.0,-1.0,1.0,-1.0,0.0,deterministic
403,0.0,-1.5,1.5,-1.5,0.0,deterministic
404,0.0,-2.0,2.0,-2.0,0.0,deterministic
405,0.0,-0.5,0.5,-0.5,0.5,deterministic
406,0.0,-1.0,1.0,-1.0,1.0,deterministic
407,0.0,-1.5,1.5,-1.5,1.5,deterministic
408,0.0,-2.0,2.0,-2.0,2.0,deterministic
409,0.0,-0.5,0.5,0.0,-0.5,deterministic
410,0.0,-1.0,1.0,0.0,-1.0,deterministic
411,0.0,-1.5,1.5,0.0,-1.5,deterministic
412,0.0,-2.0,2.0,0.0,-2.0,deterministic
413,0.0,-0.5,0.5,0.0,0.0,deterministic
414,0.0,-1.0,1.0,0.0,0.0,deterministic
415,0.0,-1.5,1.5,0.0,0.0,deterministic
416,0.0,-2.0,2.0,0.0,0.0,deterministic
417,0.0,-0.5,0.5,0.0,0.5,deterministic
418,0.0,-1.0,1.0,0.0,1.0,deterministic
419,0.0,-1.5,1.5,0.0,1.5,deterministic
420,0.0,-2.0,2.0,0.0,2.0,deterministic
421,0.0,-0.5,0.5,0.5,-0.5,deterministic
422,0.0,-1.0,1.0,1.0,-1.0,deterministic
423,0.0,-1.5,1.5,1.5,-1.5,deterministic
424,0.0,-2.0,2.0,2.0,-2.0,deterministic
425,0.0,-0.5,0.5,0.5,0.0,deterministic
426,0.0,-1.0,1.0,1.0,0.0,deterministic
427,0.0,-1.5,1.5,1.5,0.0,deterministic
428,0.0,-2.0,2.0,2.0,0.0,deterministic
429,0.0,-0.5,0.5,0.5,0.5,deterministic
430,0.0,-1.0,1.0,1.0,1.0,deterministic
431,0.0,-1.5,1.5,1.5,1.5,deterministic
432,0.0,-2.0,2.0,2.0,2.0,deterministic
433,0.0,0.0,-0.5,-0.5,-0.5,deterministic
434,0.0,0.0,-1.0,-1.0,-1.0,deterministic
435,0.0,0.0,-1.5,-1.5,-1.5,deterministic
436,0.0,0.0,-2.0,-2.0,-2.0,deterministic
437,0.0,0.0,-0.5,-0.5,0.0,deterministic
438,0.0,0.0,-1.0,-1.0,0.0,deterministic
439,0.0,0.0,-1.5,-1.5,0.0,deterministic
440,0.0,0.0,-2.0,-2.0,0.0,deterministic
441,0.0,0.0,-0.5,-0.5,0.5,deterministic
442,0.0,0.0,-1.0,-1.0,1.0,deterministic
443,0.0,0.0,-1.5,-1.5,1.5,deterministic
444,0.0,0.0,-2.0,-2.0,2.0,deterministic
445,0.0,0.0,-0.5,0.0,-0.5,deterministic
446,0.0,0.0,-1.0,0.0,-1.0,deterministic
447,0.0,0.0,-1.5,0.0,-1.5,deterministic
448,0.0,0.0,-2.0,0.0,-2.0,deterministic
449,0.0,0.0,-0.5,0.0,0.0,deterministic
450,0.0,0.0,-1.0,0.0,0.0,deterministic
451,0.0,0.0,-1.5,0.0,0.0,deterministic
452,0.0,0.0,-2.0,0.0,0.0,deterministic
453,0.0,0.0,-0.5,0.0,0.5,deterministic
454,0.0,0.0,-1.0,0.0,1.0,deterministic
455,0.0,0.0,-1.5,0.0,1.5,deterministic
456,0.0,0.0,-2.0,0.0,2.0,deterministic
457,0.0,0.0,-0.5,0.5,-0.5,deterministic
458,0.0,0.0,-1.0,1.0,-1.0,deterministic
459,0.0,0.0,-1.5,1.5,-1.5,deterministic
460,0.0,0.0,-2.0,2.0,-2.0,deterministic
461,0.0,0.0,-0.5,0.5,0.0,deterministic
462,0.0,0.0,-1.0,1.0,0.0,deterministic
463,0.0,0.0,-1.5,1.5,0.0,deterministic
464,0.0,0.0,-2.0,2.0,0.0,deterministic
465,0.0,0.0,-0.5,0.5,0.5,deterministic
466,0.0,0.0,-1.0,1.0,1.0,deterministic
467,0.0,0.0,-1.5,1.5,1.5,deterministic
468,0.0,0.0,-2.0,2.0,2.0,deterministic
469,0.0,0.0,0.0,-0.5,-0.5,deterministic
470,0.0,0.0,0.0,-1.0,-1.0,deterministic
471,0.0,0.0,0.0,-1.5,-1.5,deterministic
472,0.0,0.0,0.0,-2.0,-2.0,deterministic
473,0.0,0.0,0.0,-0.5,0.0,deterministic
474,0.0,0.0,0.0,-1.0,0.0,deterministic
475,0.0,0.0,0.0,-1.5,0.0,deterministic
